id,turn,money,won,loss,ties,res
3,19,19,4,7,8,"['y', 'n', 'y', 'y', 'y', 'n', 'n', 'y', 'n', 'n', 'n', 'n', 'y', 'n', 'y', 'y', 'n', 'n', 'y']"
4,19,27,4,3,12,"['n', 'n', 'y', 'n', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'y', 'n', 'n', 'n', 'y', 'n', 'n']"
5,19,24,3,3,13,"['y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'y', 'y', 'y', 'n', 'y', 'n', 'n', 'y']"
6,19,23,2,3,14,"['y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'y', 'y', 'n', 'n']"
7,19,25,5,5,9,"['n', 'y', 'n', 'y', 'n', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'y', 'n', 'n']"
0,20,22,5,4,11,"['y', 'n', 'n', 'n', 'y', 'n', 'n', 'y', 'y', 'n', 'y', 'n', 'y', 'n', 'y', 'n', 'y', 'n', 'y', 'n']"
1,20,24,4,2,14,"['n', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'n', 'y', 'y', 'y', 'n', 'n', 'y', 'n', 'y']"
2,20,21,3,3,14,"['y', 'y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'y', 'n', 'y', 'n', 'n', 'y', 'n', 'y', 'n', 'n', 'n']"
3,20,18,4,7,9,"['y', 'n', 'y', 'y', 'y', 'n', 'n', 'y', 'n', 'n', 'n', 'n', 'y', 'n', 'y', 'y', 'n', 'n', 'y', 'n']"
4,20,26,4,3,13,"['n', 'n', 'y', 'n', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'y', 'n', 'n', 'n', 'y', 'n', 'n', 'n']"
5,20,23,3,3,14,"['y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'y', 'y', 'y', 'n', 'y', 'n', 'n', 'y', 'n']"
6,20,21,2,3,15,"['y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'y', 'y', 'n', 'n', 'y']"
7,20,23,5,5,10,"['n', 'y', 'n', 'y', 'n', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'y', 'n', 'n', 'y']"
0,21,21,5,4,12,"['y', 'n', 'n', 'n', 'y', 'n', 'n', 'y', 'y', 'n', 'y', 'n', 'y', 'n', 'y', 'n', 'y', 'n', 'y', 'n', 'n']"
1,21,23,4,2,15,"['n', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'n', 'y', 'y', 'y', 'n', 'n', 'y', 'n', 'y', 'n']"
2,21,20,3,3,15,"['y', 'y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'y', 'n', 'y', 'n', 'n', 'y', 'n', 'y', 'n', 'n', 'n', 'n']"
3,21,17,4,7,10,"['y', 'n', 'y', 'y', 'y', 'n', 'n', 'y', 'n', 'n', 'n', 'n', 'y', 'n', 'y', 'y', 'n', 'n', 'y', 'n', 'n']"
4,21,23,4,4,13,"['n', 'n', 'y', 'n', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'y', 'n', 'n', 'n', 'y', 'n', 'n', 'n', 'y']"
5,21,22,3,3,15,"['y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'y', 'y', 'y', 'n', 'y', 'n', 'n', 'y', 'n', 'n']"
6,21,20,2,3,16,"['y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'y', 'y', 'n', 'n', 'y', 'n']"
7,21,23,6,5,10,"['n', 'y', 'n', 'y', 'n', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'y', 'n', 'n', 'y', 'n']"
0,22,21,6,4,12,"['y', 'n', 'n', 'n', 'y', 'n', 'n', 'y', 'y', 'n', 'y', 'n', 'y', 'n', 'y', 'n', 'y', 'n', 'y', 'n', 'n', 'n']"
1,22,21,4,2,16,"['n', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'n', 'y', 'y', 'y', 'n', 'n', 'y', 'n', 'y', 'n', 'y']"
2,22,20,4,3,15,"['y', 'y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'y', 'n', 'y', 'n', 'n', 'y', 'n', 'y', 'n', 'n', 'n', 'n', 'n']"
3,22,16,4,7,11,"['y', 'n', 'y', 'y', 'y', 'n', 'n', 'y', 'n', 'n', 'n', 'n', 'y', 'n', 'y', 'y', 'n', 'n', 'y', 'n', 'n', 'n']"
4,22,20,4,5,13,"['n', 'n', 'y', 'n', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'y', 'n', 'n', 'n', 'y', 'n', 'n', 'n', 'y', 'y']"
